UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
32728,77680,,05-04-2020,"The ""Coronavirus Outbreak"" is Making Dairy Farmers Dump Milk, Even as Food Demand Skyrockets
#DairyFarmers #Dairy #Milk
#CoronavirusOutbreak #USA
#Food #Drink #Beverage #COVID2019 #COVID19
#Farmers #Economy #Stores #Shopping #Preppers #Prepper #Survivalist
https://t.co/OAVtvCk5da",Negative
31259,76211,Portugal,03-04-2020,"#FacebookÂs global ban on adverts for #coronavirus test kits, hand sanitizer, face masks and disinfectant wipes is being easily flouted, while #eBay is listing intensive care ventilators for sale at prices of more than Â£12,000. https://t.co/NP0Rj6FY8t #COVID19",Extremely Positive
22805,67757,Australia,24-03-2020,Well done to @Optus who have joined @Telstra in waiving late payment fees and paused disconnections to keep consumers connected. Phone and internet services are vital during these challenging times. https://t.co/vfUooSaaBF @consumer_action,Positive
23845,68797,"Greeley, CO",24-03-2020,#toiletpaper auction with winning bid &gt;30k on ebay #covid19 #coronavirus How is that price gouging control going @eBay ? https://t.co/qPgCytGTs8,Extremely Positive
43498,88450,"Anchorage, AK",13-04-2020,"The coronavirus and an oil-price crisis could transform the oil industry in Arctic Alaska https://t.co/UwBHPnSfLW
by @YJRosen https://t.co/2MowF6Ozp1",Extremely Negative
29957,74909,"Cleveland, Ohio, USA",02-04-2020,Here s a first person account of what it s like to work in a during,Positive
8183,53135,"Queensland, Australia",18-03-2020,"COVID-19 panic buying prompts new laws so Queensland supermarkets can restock all hours - ABC News (Australian Broadcasting Corporation) https://t.co/Z89MbKEZ0J, see more https://t.co/LSr51ckYOR",Negative
27770,72722,"Adelaide, Australia",26-03-2020,This #coronavirus clusterfuck illustrates how brittle our supply chains are - and I am not even talking about industry ... it's plainly obvious to anyone that has to go to the supermarket to get some basic essentials.,Neutral
19510,64462,"Coldwater, MI",22-03-2020,"Wondering if houses are still selling?
?We are practicing #socialdistancing with hand sanitizer and disinfecting wipes which seem to be the new normal. ?#COVID19 #Coronavirus #HauskaHome #BuyAHouse #RealEstate #Realtor #SOLD #AcceptedOffer https://t.co/qHvrygt5Ah",Positive
40525,85477,,09-04-2020,"Since the beginning of the coronavirus (COVID-19) pandemic, doctors, nurses and paramedics have been working round the clock while risking their lives, along with many unsung heroes such as the grocery store workers, truck drivers and workers in the sanitation department. https://t.co/5DNtN73VLZ",Positive
11063,56015,New York via Los Angeles,19-03-2020,"GROCERIES: Experts share tips for how to shop and make sure your food is safe to eat during the COVID-19 pandemic. via @NicolePajer
https://t.co/tmTcRPhAHT",Extremely Positive
43210,88162,,12-04-2020,#PMspeaks he should find some way to get the basic neccesities other than food such as #biscuits #choclates #medicine etc into full stock #PMlive #COVID__19 #SundayMorning,Neutral
21338,66290,Alvechurch,23-03-2020,Profound changes to how UK households plan to use their leisure time in light of the COVID 19 pandemic new data on consumer intentions during this deeply challenging time released today link added ,Positive
20835,65787,"Port Harcourt, Nigeria",23-03-2020,"Amidst the #coronavirus pandemic 
Try as much as u can to avoid crowded  areas, always use a hand sanitizer. 
_________________________________
 beat by @LorrdSky
. 
Pls stay safe
This pandemic will surely pass
_ #coronavirusmemes
#Covid_19
#lordsky #coro
#corona #dancevideos https://t.co/6lr1Bajn2D",Extremely Positive
8897,53849,"Pawtucket, RI",18-03-2020,"COVID-19 update: Events through the end of March are cancelled at Untapped. New buylists are still down for the time being. Stay tuned to this space for updates. The retail store is open, so grab a game to play while hunkering down or order cards on our site. Stay safe, be well!",Extremely Positive
28549,73501,,27-03-2020,Coronavirus Update Supply Chain Food Shortages Stock Market and Preparedness 19,Negative
12594,57546,Brighton Lass ??,20-03-2020,"Farm foods Grimsby. This man bought ALL the bread in the store. Apparently their head office approve saying ""A sale is a sale"". The guy sells this on in a shop, he used a voucher to get a discount... Absolutely disgusting! 

Farm Foods head office (0121 700 7160) https://t.co/8aehuToxGq",Negative
32953,77905,"Rosario, Argentina",05-04-2020,"Chicago Board of Trade (CBOT) agricultural futures fell for the trading week ending April 3, with weaker ethanol demand due to stay-at-home orders amid the U.S. COVID-19 outbreak pushing down corn prices - Xinhua",Negative
18158,63110,Turkey-Israel,21-03-2020,"North Providence, #RhodeIsland , U.S. !
-
Shoppers wait in line to enter during hours open daily only for seniors
-
grocery store chains and other retailers began offering special shopping hours for seniors &amp; other groups considered the most vulnerable to the new #coronavirus ! https://t.co/AT309aqx5l",Positive
37270,82222,North Florida,08-04-2020,"Global food shortages are occurring... stock up for 2-3 weeks and subsequent civil unrest.

https://t.co/ZB0vvuMU8Z

#Coronavirus #CoronaviursPandemic #COVID19 #CoronavirusUSA",Negative
39317,84269,"Ampleforth, North Yorkshire",09-04-2020,https://t.co/ZKMjKeeHLS Makes an interest read #Coronavirus,Positive
25954,70906,"California, USA",25-03-2020,"LIFESTYLE: A grocery store associate explains what itÂs like working at a grocery store in light of the coronavirus social distancing enforcement and 3 things all shoppers should be aware of. #coronavirus  #China #CDC #WHO #tech  #Business  #tech #economy
https://t.co/I8OdoGMjbd",Positive
37894,82846,,08-04-2020,I feel more secure knowing we ll have our own supply of fresh fruit and veg Forget stockpiling  meets people overcoming the empty shelves by panic sowing making their own eco sanitisers and more,Negative
15703,60655,,20-03-2020,"Along with all healthcare workers, grocery store and gas station workers, donÂt forget about your bankers! Their essential too! #coronavirus #bankers
#StayAtHome #idontwantthisshit",Negative
21927,66879,"Baltimore, MD",23-03-2020,"This is well-deserved. THANK YOU to all the grocery store employees working hard to keep up with the demand.
https://t.co/ZyddYLXeQJ @wmar2news #coronavirus #COVID19",Positive
6198,51150,"North Charleston, SC",17-03-2020,"SC CORONAVIRUS UPDATE | If you've been out &amp; about, you've seen the empty grocery store shelves due to the #coronavirus. Even Amazon sold out of toilet paper several days ago! Today Amazon announced this via email: https://t.co/K1qJQM9rrI https://t.co/UXc8nxQqQR",Positive
39453,84405,King of the Castle,09-04-2020,Good evening @Tesco Visited your supermarket at Dover this evening and social distancing rules were not being applied. ItÂs not acceptable in the current climate to continue like this. Your own staff are putting themselves and the public at risk. #SocialDistancing #COVIDIDIOTS,Positive
22179,67131,,23-03-2020,"ÂMorrisons has reduced its fuel prices by 12p per litre for petrol and 8p per litre for diesel, PA reports.Â  #Covid_19 #CoronaCrisisuk #CoronaCrisis",Neutral
9656,54608,"North West, England",19-03-2020,"So work in a #specialschool all day, told I have to remain in after #schoolclosuresuk. WeÂre at breaking point and come home to this when trying to buy food. @sainsburys is not limiting purchases, did a test and got 6 bottles of fizzy water!#StopPanicBuying #selfish #coronavirus https://t.co/60st5LTknW",Neutral
28088,73040,"Philadelphia, PA",26-03-2020,"In these difficult times, please be careful in protecting your account and personal information. Here are some tips to avoid #coronavirus scams: https://t.co/DDDr41GELK",Extremely Negative
42421,87373,USA and Global,11-04-2020,"PANIC BUYING
?No, WeÂre Not Running Out Of Food Or Toilet Paper.
? #Coronavirus myth-busting: The truth about empty shelves and toilet paper shortages.
#PanicBuying  https://t.co/uRJu7QC0sV",Extremely Negative
13065,58017,Anywhere But Here,20-03-2020,PARA AQUE Transport service for medical and health workers law enforcers gov t employees supermarket drugstore restaurant bank and BPO employees Check for updates and more transport services,Neutral
33718,78670,Deep State Headquarters,06-04-2020,"LOL @realDonaldTrump bragging about low gas prices as if he had something to do w/ it. If u knew how economics worked ya big dummy you'd know it's b/c 1. Low demand bc of COVID-19 &amp; 2. Russher &amp; Saudi Arabia increased production. I'll let ya dumbass figure out rest, Einstein??",Negative
9032,53984,UK,18-03-2020,"The evil, non-tax-paying, global-corporation Amazon suspends new shipments due to #coronavirus
https://t.co/hxfXKdI8x3
#COVID19 #covid19UK #COVID2019 #COVID?19 #shopping #panicbuying #Technology #tax #money #health #CoronaVirusChallenge #Covid_19  #COVID19KE #consumer #monopoly https://t.co/OwIvU4o23a",Negative
33280,78232,United States,05-04-2020,"Peoples are crying raised prices in New York in super markets &amp; grocery stores, for peoples donÂt have jobs donÂt have enough money to survive now a days in Covid-19, related authorities should take a serious action against eggs, milk &amp; diff daily items which r selling high price",Positive
39266,84218,"Bromley, London",09-04-2020,Shopping online: keeping the economy and businesses going... or creating unnecessary work for postal workers &amp; couriers who are at risk of COVID-19? Are you still shopping online?,Neutral
30359,75311,Singapore,02-04-2020,"The impact of #coronavirus on #Singapore - Private Home Prices Down 1.2% In Q1 2020
https://t.co/EHjYV98fPA",Neutral
18405,63357,not Drumpf's Reich USSR,21-03-2020,"@SenSanders Â­
The military has everything we need stored away.

The Oilygarchy is just waiting until we are so desperate that they can sell it back to us at outrageous prices. 

 #Covid_19",Extremely Negative
42492,87444,At church/work ,12-04-2020,We must protect our police and paramedics nurses doctors and other HCPs supermarket and pharmacy staff as well as all front line personnel during this crisis or practice and we can,Negative
22316,67268,"Seattle, WA",23-03-2020,Hey @kcmetrobus check route 36. Not running very often and itÂs causing  buses to be more packed than necessary. Had to run to grocery store and bus did not allow for #SocialDistance ????? #COVID?19 #coronavirus #StayHome #Social_Distancing #seattle @komonews @KING5Seattle #fail https://t.co/jF78ZpnRLZ,Negative
35667,80619,"Ulaanbaatar, Mongolia",07-04-2020,@realShawNshawN Where was this and do you have a source from a news media? Despicable. #CHina caused a shortage. #CCP #China is #hording #medical equipment during #coronavirus to drive up prices and to dole the aid out to countries and build its softpower,Negative
42095,87047,"Blue Mountains, Sydney",11-04-2020,"Nothing is that 'essential' that it requires a 20 min wait in a 20+ metre long queue outside Woolies with little social distancing. Turned around and went home to local village supermarket.

#covid_19 #socialidistancing #penrith
#bluemountains",Neutral
37953,82905,"Ramsey, Isle of Man",08-04-2020,"Having negotiated my way around a supermarket on Sunday, keeping a safe distance from other people and trying not to get cornered, I suddenly realised what Pac Man was training us for all those years ago.
#SocialDistancing #Social_Distancing #Supermarkets #coronalockdownuk",Positive
28947,73899,Off road these days...,30-03-2020,Miami Update Supermarket Employee Tests Positive for COVID 19,Positive
9987,54939,"SF/Bay Area, CA",19-03-2020,Normal price 6 99 price 14 99 Why is the largest American supermarket chain a product that is essential to saving lives during a,Neutral
25522,70474,New Zealand,25-03-2020,"I've got to head to the supermarket soon to get some supplies for my family. If someone doesn't want to apply social distancing and gets up in my personal space it's not #Covid_19 they have to worry about catching, they'll have to worry about catching these hands. https://t.co/RNuYPrizCI",Extremely Negative
41913,86865,,11-04-2020,Amazon in the Midst of Coronavirus Pandemic - Savior or Profiteering Price Gouger ?? #Amazon #coronavirus #retailer #mailorder #pricegouging #consumer #markets #JeffBezos  https://t.co/tJrJMoPUD4,Neutral
33311,78263,"London, England",05-04-2020,"@LenMcCluskey @LBC @unitetheunion Absolute joke, no hand sanitizer in our garage, seats next to drivers not sealed up, no toilet facilities on most routes, what have you done.... Nothing! #coronavirus #Covid_19 @TfL @MayorofLondon @BorisJohnson",Positive
28725,73677,"Lagos, Nigeria",27-03-2020,"Prices Of Foodstuffs Surge Over Panic Buying 
Credit : Channels
For latest Nigerian videos visit https://t.co/mIJ8Fx4o78
#viewnaija #news #covid19 #coronavirus #Kits #traders #business #Lagosstate #Government https://t.co/YrzPk62y8p",Negative
31248,76200,"Lisboa, Portugal",03-04-2020,"Today I'm #grateful for the possibility of being able to smell the #nature, to notice how #beautiful it is, while inevitably I cross the street to go to the grocery store. #Gratitude. ? #Covid_19 #IsolationLife https://t.co/mJ3EVxAqoV",Neutral
19217,64169,San Francisco,22-03-2020,Saw this happen 3 times yesterday by this dude while getting gas.  Damn the struggle is REAL!  But donÂt be this dude!  #COVIDIOT #COVID?19 #ToiletPaperPanic #toiletpaper #ToiletPaperEmergency #ToiletPaperApocalypse #coronavirus https://t.co/KqVJinNLhd,Negative
32479,77431,alderaan,05-04-2020,"Yall, COVID-19 really made me do some online shopping for home appliances haih",Neutral
38141,83093,,08-04-2020,"Living in a small town is killing me right now. No grocery stores deliver here, the stores we have are constantly ransacked, and the wait times for store pickup are days/weeks out. I just... I'm over it. STOP HOARDING shit you don't need! #coronavirus #COVID19",Extremely Negative
13338,58290,Canada,20-03-2020,The COVID-19 pandemic has many people on edge across the globe. https://t.co/1WxE203yFW,Neutral
41146,86098,"Gurgaon, India",10-04-2020,Our English and Maths workbooks NOW AVAILABLE IN SOFT COPY. All at affordable prices with 10% discount. Shop now at https://t.co/rWRJhz3OKa. #socialdistancing #COVID #StayHomeIndia #onlinelearning #CoronaOutbreak #IndiaDeservesBetter #COVID?19 #Homestuck https://t.co/6k5gb7Sd0B,Neutral
4601,49553,United Kingdom,17-03-2020,"??Â Jeez people have learnt the magic spell called Empty Shelves ? ?  

#selfish #CoronavirusOutbreak #coronavirus #StopPanicBuying https://t.co/iepb1kubOJ",Negative
6130,51082,"England, United Kingdom",17-03-2020,"#COVID2019 went to supermarket. looked like it had exploded. all bread gone. bread is bad for you anyway, nice to know people are panic buying all the bad stuff. last i heard 13 cases and 0 death in my county. this is ridiculous",Extremely Negative
37756,82708,New Zealand,08-04-2020,It took a while to get them all but here are all of Wednesday s numbers charted Time to go to the supermarket now so I can keep an 80 year old safe in her bubble with ample merlot amp camembert Her shopping lists are a delight,Extremely Positive
25687,70639,"Houston, Texas",25-03-2020,"Inbox: Gulf Coast Distilleries donates large personalized bottles of hand sanitizer to #HarrisCounty Constables, will be used to refill bottles for deputies.  @Pct4Constable #coronavirus #Texas https://t.co/6CnlnuVYwD",Positive
23951,68903,"Hyderabad, India",24-03-2020,Hyderabad Corona patients now demand non veg food,Negative
44474,89426,"Warrington Rd,Rainhill Village",13-04-2020,"??swipe Shop ? our range of tees and hoodies online now ? prices include delivery! https://t.co/6bbZDSiS89
#keepdancing #socialdisdancing #socialdistancing #danceteeÂ https://t.co/T2B4jcKwYv",Neutral
33306,78258,,05-04-2020,"#CoronavirusPandemic #coronavirus 
When all the hand washing and hand sanitizer finally gets you: https://t.co/duhcpx0cAG",Extremely Positive
10074,55026,God's Will,19-03-2020,Sky Sports is allowing you to pause your subscription free of charge You can currently only do this by contacting their call centre though they ve said that an online system might be in place from Friday 20 March  ,Positive
27425,72377,Chicagoland,26-03-2020,Area food pantries facing new challenges as spreads and store donations dry up,Positive
12982,57934,"Ottawa, Ontario",20-03-2020,1/4 A thread ÂMy son works at an ottawa grocery store part time. He is a full time university student living at home and therefore doesnÂt really need the money.  #Covid_19 #SocialDistancing,Neutral
30105,75057,London SW20,02-04-2020,"????????????????????????  a huge thank you to all the #NHS staff and support workers,  #supermarket workers and rubbish collectors &amp; everyone who is looking after the nation #coronavirus #COVID19",Extremely Positive
15019,59971,Sri Lanka,20-03-2020,"Chill guys, you are not allowed to drive during the curfew.

#lka #SriLanka #COVID19 #CoronaOutbreak #coronavirus https://t.co/1iVqbXWiQh",Neutral
22207,67159,USA - AZ CD 6 / LD 23,23-03-2020,"Regardless of what you see in the movies, don't use Irish whiskey (uisce beatha), like @jamesonwhiskey, as hand sanitizer. Mostly because you'll be too tempted to lick it off and thus render it ineffective.
#coronavirus #lifehacks",Extremely Positive
42759,87711,,12-04-2020,@ODPP_KE What Ares you doing concerning the Bungoma washing hand containers with exaggerated prices ?  People should not steal our taxes with the current situation of #Covid_19 #coronavirusInkenya,Extremely Positive
